10649123;Si;No;Falta de dinero;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia agra­cola
10649123;Si;Si;;Segundo Primaria;Primero Primaria;
10649123;Si;Si;;Sexto Primaria;Quinto Primaria;
10897830;Si;No;Trabajo;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
10897830;Si;Si;;Segundo Primaria;Primero Primaria;
10898415;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
10898415;Si;No;Trabajo;Ninguno;Sexto Primaria;
10898415;Si;Si;;Segundo Primaria;Primero Primaria;
10898517;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
10898517;Si;Si;;Quinto Primaria;Cuarto Primaria;
10898517;Si;Si;;Tercero Primaria;Segundo Primaria;
11349726;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
11349726;Si;Si;;Tercero Primaria;Segundo Primaria;
11648413;Si;Si;;Cuarto Primaria;Tercero Primaria;
11648413;No;No;Oficios de la casa;Ninguno;Ninguno;No Trabaja
11648413;Si;Si;;Primero Primaria;Preprimaria;
11648413;Si;Si;;Segundo Primaria;Primero Primaria;
11648413;Si;Si;;Tercero Primaria;Segundo Primaria;
11648418;Si;No;Falta de dinero;Ninguno;Segundo Primaria;Trabajador(a) cuenta propia no agra­cola
11648418;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
11648418;No;Si;;Preprimaria;Ninguno;
11648418;Si;Si;;Segundo Primaria;Primero Primaria;
11648418;Si;Si;;Sexto Primaria;Quinto Primaria;
11652265;Si;Si;;Cuarto Primaria;Tercero Primaria;
11652265;No;No;Otra causa;Ninguno;Ninguno;No Trabaja
11652265;Si;Si;;Segundo Basico;Primero Basico;
11652286;No;No;Oficios de la casa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
11652286;Si;Si;;Primero Primaria;Preprimaria;
11652286;Si;Si;;Sexto Primaria;Quinto Primaria;
11652286;Si;Si;;Tercero Primaria;Segundo Primaria;
11698696;Si;Si;;Cuarto Primaria;Tercero Primaria;
11698696;Si;No;No le interesa;Ninguno;Sexto Primaria;No Trabaja
11698696;No;Si;;Primero Primaria;Preprimaria;
11698696;Si;Si;;Sexto Primaria;Quinto Primaria;
11700932;No;No;No le interesa;Ninguno;Ninguno;No Trabaja
11700932;No;Si;;Primero Primaria;Preprimaria;
11700932;Si;Si;;Quinto Primaria;Cuarto Primaria;
11700932;Si;Si;;Segundo Primaria;Primero Primaria;
11700933;Si;Si;;Cuarto Primaria;Tercero Primaria;
11700933;Si;No;No le interesa;Ninguno;Cuarto Primaria;No Trabaja
11700933;Si;Si;;Primero Primaria;Preprimaria;
12697713;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
12697713;Si;Si;;Quinto Primaria;Cuarto Primaria;
